timestamp,home_team_name,away_team_name,home_team_goal_count,away_team_goal_count
1735484400,Tottenham Hotspur,Wolverhampton Wanderers,2,2
1735492500,West Ham United,Liverpool,0,5
1735587900,Aston Villa,Brighton & Hove Albion,2,2
1735587900,Ipswich Town,Chelsea,2,0
1735588800,Manchester United,Newcastle United,0,2
1735752600,Brentford,Arsenal,1,3
1735993800,Tottenham Hotspur,Newcastle United,1,2
1736002800,AFC Bournemouth,Everton,1,0
1736002800,Aston Villa,Leicester City,2,1
1736002800,Crystal Palace,Chelsea,1,1
1736002800,Manchester City,West Ham United,4,1
1736002800,Southampton,Brentford,0,5
1736011800,Brighton & Hove Albion,Arsenal,1,1
1736085600,Fulham,Ipswich Town,2,2
1736094600,Liverpool,Manchester United,2,2
1736193600,Wolverhampton Wanderers,Nottingham Forest,0,3
1736883000,Brentford,Manchester City,2,2
1736883000,West Ham United,Fulham,3,2
1736883000,Chelsea,AFC Bournemouth,2,2
1736884800,Nottingham Forest,Liverpool,1,1
1736969400,Everton,Aston Villa,0,1
1736969400,Leicester City,Crystal Palace,0,2
